DATE,BRKA
2006-01,0.0098171970209886
2006-02,-0.03005922449435683
2006-03,0.04089861751152002
2006-04,-0.014941892639733778
2006-05,0.03696629213483105
2006-06,-0.006837143785892064
2006-07,-0.0006436901995441335
2006-08,0.049093886462882486
2006-09,-0.0030906271787877193
2006-10,0.10099164926931103
2006-11,0.015406494429960116
2006-12,0.026984126984127554
2007-01,0.0005455041367397051
2007-02,-0.035074965924579815
2007-03,0.02636783124587949
2007-04,0.0019267822736028783
2007-05,0.0026556776556776462
2007-06,-0.00013699881267681402
2007-07,0.004795615437314327
2007-08,0.07627272727272727
2007-09,0.001013599121547193
2007-10,0.11804910977976535
2007-11,0.057358490566037146
2007-12,0.010706638115631772
2008-01,-0.03954802259887047
2008-02,0.02941176470588247
2008-03,-0.04714285714285693
2008-04,0.0033733133433280216
