Month	Year	Fractional Date	Excel Date	CPI-Price	SPX-TR-Price	10Y BM-Price	Cash-Price	Non-US Stocks (NEW)-Price	Gold-Price	CAPE	SPX-TR	10Y BM	Cash	Non-US Stocks (NEW)	Custum Series (NEW)	Gold
12	1951	1,951.92	1/31/1952	26.470	31,324.80	1,762.33	2,213.80	31,324.80	40.00	12.3339	3.81%	-0.09%	-0.44%	3.81%	0.00%	-0.57%
1	1952	1,952.00	2/29/1952	26.450	31,977.55	1,766.02	2,216.99	31,977.55	38.70	12.5048	2.16%	0.28%	0.22%	2.16%	0.00%	-3.18%
2	1952	1,952.08	3/31/1952	26.410	30,966.15	1,761.92	2,219.89	30,966.15	38.70	12.1116	-3.02%	-0.08%	0.28%	-3.02%	0.00%	0.15%
3	1952	1,952.17	4/30/1952	26.390	32,598.52	1,765.60	2,222.74	32,598.52	38.70	12.6547	5.35%	0.28%	0.20%	5.35%	0.00%	0.08%
4	1952	1,952.25	5/31/1952	26.460	31,362.58	1,786.33	2,225.69	31,362.58	38.70	12.0303	-4.05%	0.91%	-0.13%	-4.05%	0.00%	-0.26%
5	1952	1,952.33	6/30/1952	26.470	32,236.28	1,796.15	2,228.60	32,236.28	38.70	12.2401	2.75%	0.51%	0.09%	2.75%	0.00%	-0.04%
6	1952	1,952.42	7/31/1952	26.530	33,889.98	1,793.39	2,231.70	33,889.98	38.70	12.7440	4.89%	-0.38%	-0.09%	4.89%	0.00%	-0.23%
7	1952	1,952.50	8/31/1952	26.680	34,659.69	1,787.58	2,234.86	34,659.69	38.70	12.8338	1.70%	-0.88%	-0.42%	1.70%	0.00%	-0.56%
8	1952	1,952.58	9/30/1952	26.690	34,326.57	1,777.24	2,238.23	34,326.57	38.70	12.6653	-1.00%	-0.62%	0.11%	-1.00%	0.00%	-0.04%
9	1952	1,952.67	10/31/1952	26.630	33,819.25	1,764.02	2,241.65	33,819.25	38.70	12.3193	-1.26%	-0.52%	0.38%	-1.26%	0.00%	0.23%
10	1952	1,952.75	11/30/1952	26.690	33,945.31	1,789.60	2,244.84	33,945.31	38.70	12.2632	0.15%	1.22%	-0.08%	0.15%	0.00%	-0.22%
11	1952	1,952.83	12/31/1952	26.690	35,695.51	1,794.91	2,248.10	35,695.51	38.70	12.7989	5.16%	0.30%	0.14%	5.16%	0.00%	0.00%
12	1952	1,952.92	1/31/1953	26.710	37,120.23	1,795.52	2,251.56	37,120.23	38.70	13.2012	3.91%	-0.04%	0.08%	3.91%	0.00%	-0.07%
1	1953	1,953.00	2/28/1953	26.640	37,020.27	1,782.13	2,255.48	37,020.27	35.50	13.1748	-0.01%	-0.48%	0.44%	-0.01%	0.00%	-8.03%
2	1953	1,953.08	3/31/1953	26.590	36,513.08	1,775.19	2,259.17	36,513.08	35.50	12.8942	-1.18%	-0.20%	0.35%	-1.18%	0.00%	0.19%
3	1953	1,953.17	4/30/1953	26.630	35,809.32	1,769.93	2,262.88	35,809.32	35.50	12.4891	-2.07%	-0.45%	0.01%	-2.07%	0.00%	-0.15%
4	1953	1,953.25	5/31/1953	26.690	35,024.11	1,763.25	2,266.67	35,024.11	35.50	12.1245	-2.41%	-0.60%	-0.06%	-2.41%	0.00%	-0.22%
5	1953	1,953.33	6/30/1953	26.700	35,093.04	1,734.01	2,270.80	35,093.04	35.50	11.8047	0.16%	-1.70%	0.14%	0.16%	0.00%	-0.04%
6	1953	1,953.42	7/31/1953	26.770	34,686.10	1,729.41	2,274.89	34,686.10	35.50	11.7166	-1.42%	-0.53%	-0.08%	-1.42%	0.00%	-0.26%
7	1953	1,953.50	8/31/1953	26.790	35,742.55	1,761.14	2,278.89	35,742.55	35.50	11.9727	2.97%	1.76%	0.10%	2.97%	0.00%	-0.07%
8	1953	1,953.58	9/30/1953	26.850	33,840.81	1,762.39	2,282.77	33,840.81	35.50	11.2011	-5.53%	-0.15%	-0.05%	-5.53%	0.00%	-0.22%
9	1953	1,953.67	10/31/1953	26.890	34,048.72	1,779.02	2,286.65	34,048.72	35.50	11.1776	0.46%	0.79%	0.02%	0.46%	0.00%	-0.15%
10	1953	1,953.75	11/30/1953	26.950	35,970.23	1,816.11	2,290.06	35,970.23	35.50	11.7199	5.41%	1.86%	-0.07%	5.41%	0.00%	-0.22%
11	1953	1,953.83	12/31/1953	26.850	36,460.96	1,816.98	2,292.69	36,460.96	35.50	11.7676	1.74%	0.42%	0.49%	1.74%	0.00%	0.37%
12	1953	1,953.92	1/31/1954	26.870	36,712.38	1,835.35	2,295.44	36,712.38	35.50	11.7450	0.61%	0.94%	0.05%	0.61%	0.00%	-0.07%
1	1954	1,954.00	2/28/1954	26.940	38,775.70	1,857.03	2,298.50	38,775.70	35.25	12.2525	5.35%	0.92%	-0.13%	5.35%	0.00%	-0.96%
2	1954	1,954.08	3/31/1954	26.990	39,070.80	1,862.49	2,300.76	39,070.80	35.25	12.3230	0.57%	0.11%	-0.09%	0.57%	0.00%	-0.19%
3	1954	1,954.17	4/30/1954	26.930	40,420.24	1,882.68	2,302.62	40,420.24	35.25	12.5931	3.68%	1.31%	0.30%	3.68%	0.00%	0.22%
4	1954	1,954.25	5/31/1954	26.860	42,586.30	1,899.62	2,304.60	42,586.30	35.25	13.2022	5.63%	1.16%	0.35%	5.63%	0.00%	0.26%
5	1954	1,954.33	6/30/1954	26.930	44,172.67	1,889.99	2,306.46	44,172.67	35.25	13.5252	3.46%	-0.77%	-0.18%	3.46%	0.00%	-0.26%
6	1954	1,954.42	7/31/1954	26.940	44,393.23	1,892.08	2,307.92	44,393.23	35.25	13.4732	0.46%	0.07%	0.03%	0.46%	0.00%	-0.04%
7	1954	1,954.50	8/31/1954	26.860	47,105.64	1,909.12	2,309.15	47,105.64	35.25	14.2278	6.43%	1.20%	0.35%	6.43%	0.00%	0.30%
8	1954	1,954.58	9/30/1954	26.850	45,697.31	1,902.78	2,310.54	45,697.31	35.25	13.6309	-2.95%	-0.29%	0.10%	-2.95%	0.00%	0.04%
9	1954	1,954.67	10/31/1954	26.810	49,684.42	1,903.20	2,312.31	49,684.42	35.25	14.7491	8.89%	0.17%	0.23%	8.89%	0.00%	0.15%
10	1954	1,954.75	11/30/1954	26.720	48,914.81	1,898.67	2,314.26	48,914.81	35.25	14.4421	-1.22%	0.10%	0.42%	-1.22%	0.00%	0.34%
11	1954	1,954.83	12/31/1954	26.780	53,059.63	1,894.24	2,316.15	53,059.63	35.25	15.4790	8.23%	-0.46%	-0.14%	8.23%	0.00%	-0.22%
12	1954	1,954.92	1/31/1955	26.770	55,951.04	1,893.19	2,317.94	55,951.04	35.25	16.2451	5.49%	-0.02%	0.11%	5.49%	0.00%	0.04%
1	1955	1,955.00	2/28/1955	26.770	57,151.37	1,880.70	2,320.16	57,151.37	35.15	16.4534	2.15%	-0.66%	0.10%	2.15%	0.00%	-0.28%
2	1955	1,955.08	3/31/1955	26.820	57,570.95	1,878.24	2,322.52	57,570.95	35.15	16.4243	0.55%	-0.32%	-0.08%	0.55%	0.00%	-0.19%
3	1955	1,955.17	4/30/1955	26.790	57,498.77	1,879.12	2,324.79	57,498.77	35.15	16.2548	-0.01%	0.16%	0.21%	-0.01%	0.00%	0.11%
4	1955	1,955.25	5/31/1955	26.790	59,854.16	1,870.24	2,327.27	59,854.16	35.15	16.8090	4.10%	-0.47%	0.11%	4.10%	0.00%	0.00%
5	1955	1,955.33	6/30/1955	26.770	59,981.54	1,872.90	2,330.35	59,981.54	35.15	16.6542	0.29%	0.22%	0.21%	0.29%	0.00%	0.07%
6	1955	1,955.42	7/31/1955	26.710	65,125.23	1,873.95	2,333.17	65,125.23	35.15	17.9159	8.82%	0.28%	0.35%	8.82%	0.00%	0.22%
7	1955	1,955.50	8/31/1955	26.760	69,310.75	1,858.82	2,335.91	69,310.75	35.15	18.5578	6.23%	-0.99%	-0.07%	6.23%	0.00%	-0.19%
8	1955	1,955.58	9/30/1955	26.720	68,984.32	1,852.04	2,339.02	68,984.32	35.15	18.5444	-0.32%	-0.22%	0.28%	-0.32%	0.00%	0.15%
9	1955	1,955.67	10/31/1955	26.850	69,984.22	1,856.62	2,342.73	69,984.22	35.15	18.5592	0.96%	-0.24%	-0.33%	0.96%	0.00%	-0.48%
10	1955	1,955.75	11/30/1955	26.820	68,064.23	1,875.80	2,346.77	68,064.23	35.15	17.8694	-2.63%	1.15%	0.28%	-2.63%	0.00%	0.11%
11	1955	1,955.83	12/31/1955	26.880	73,385.17	1,878.67	2,351.13	73,385.17	35.15	19.0702	7.58%	-0.07%	-0.04%	7.58%	0.00%	-0.22%
12	1955	1,955.92	1/31/1956	26.870	73,535.76	1,871.80	2,355.52	73,535.76	35.15	18.8547	0.24%	-0.33%	0.22%	0.24%	0.00%	0.04%
1	1956	1,956.00	2/29/1956	26.830	71,101.26	1,876.42	2,360.50	71,101.26	35.20	18.1559	-3.17%	0.40%	0.36%	-3.17%	0.00%	0.29%
2	1956	1,956.08	3/31/1956	26.860	73,787.11	1,890.59	2,365.24	73,787.11	35.20	18.6402	3.66%	0.64%	0.09%	3.66%	0.00%	-0.11%
3	1956	1,956.17	4/30/1956	26.890	79,146.13	1,875.80	2,369.82	79,146.13	35.20	19.8648	7.14%	-0.89%	0.08%	7.14%	0.00%	-0.11%
4	1956	1,956.25	5/31/1956	26.930	79,226.44	1,845.62	2,374.26	79,226.44	35.20	19.5036	-0.05%	-1.76%	0.04%	-0.05%	0.00%	-0.15%
5	1956	1,956.33	6/30/1956	27.030	74,254.75	1,867.87	2,379.40	74,254.75	35.20	18.0106	-6.62%	0.83%	-0.15%	-6.62%	0.00%	-0.37%
6	1956	1,956.42	7/31/1956	27.150	77,418.25	1,883.82	2,384.58	77,418.25	35.20	18.4172	3.80%	0.41%	-0.23%	3.80%	0.00%	-0.44%
7	1956	1,956.50	8/31/1956	27.290	81,656.45	1,870.96	2,389.53	81,656.45	35.20	19.0926	4.93%	-1.19%	-0.31%	4.93%	0.00%	-0.51%
8	1956	1,956.58	9/30/1956	27.310	78,786.66	1,841.15	2,394.13	78,786.66	35.20	18.2936	-3.59%	-1.67%	0.12%	-3.59%	0.00%	-0.07%
9	1956	1,956.67	10/31/1956	27.350	75,469.34	1,838.47	2,399.31	75,469.34	35.20	17.0217	-4.35%	-0.29%	0.07%	-4.35%	0.00%	-0.15%
10	1956	1,956.75	11/30/1956	27.510	76,107.16	1,849.89	2,404.99	76,107.16	35.20	17.1703	0.26%	0.04%	-0.35%	0.26%	0.00%	-0.58%
11	1956	1,956.83	12/31/1956	27.510	75,508.44	1,831.66	2,410.80	75,508.44	35.20	16.8659	-0.79%	-0.99%	0.24%	-0.79%	0.00%	0.00%
12	1956	1,956.92	1/31/1957	27.630	78,408.96	1,821.55	2,416.81	78,408.96	35.20	17.2827	3.39%	-0.98%	-0.19%	3.39%	0.00%	-0.43%
1	1957	1,957.00	2/28/1957	27.670	75,371.77	1,827.00	2,423.28	75,371.77	35.25	16.4565	-4.01%	0.15%	0.12%	-4.01%	0.00%	0.00%
2	1957	1,957.08	3/31/1957	27.800	73,149.36	1,850.62	2,429.56	73,149.36	35.25	15.7672	-3.40%	0.82%	-0.21%	-3.40%	0.00%	-0.47%
3	1957	1,957.17	4/30/1957	27.860	74,830.29	1,845.01	2,435.83	74,830.29	35.25	15.9401	2.08%	-0.52%	0.04%	2.08%	0.00%	-0.22%
4	1957	1,957.25	5/31/1957	27.930	77,839.93	1,839.53	2,442.08	77,839.93	35.25	16.3707	3.76%	-0.55%	0.01%	3.76%	0.00%	-0.25%
5	1957	1,957.33	6/30/1957	28.000	80,961.47	1,826.61	2,448.33	80,961.47	35.25	16.8287	3.75%	-0.95%	0.01%	3.75%	0.00%	-0.25%
6	1957	1,957.42	7/31/1957	28.110	81,105.00	1,802.03	2,454.58	81,105.00	35.25	16.6877	-0.21%	-1.73%	-0.14%	-0.21%	0.00%	-0.39%
7	1957	1,957.50	8/31/1957	28.190	82,280.44	1,788.45	2,461.31	82,280.44	35.25	16.6602	1.16%	-1.04%	-0.01%	1.16%	0.00%	-0.28%
8	1957	1,957.58	9/30/1957	28.280	77,912.39	1,794.31	2,467.79	77,912.39	35.25	15.7305	-5.61%	0.01%	-0.06%	-5.61%	0.00%	-0.32%
9	1957	1,957.67	10/31/1957	28.320	73,340.86	1,801.67	2,474.72	73,340.86	35.25	14.6196	-6.00%	0.27%	0.14%	-6.00%	0.00%	-0.14%
10	1957	1,957.75	11/30/1957	28.320	71,247.45	1,800.12	2,482.00	71,247.45	35.25	14.0877	-2.85%	-0.09%	0.29%	-2.85%	0.00%	0.00%
11	1957	1,957.83	12/31/1957	28.410	72,651.49	1,843.73	2,489.40	72,651.49	35.25	14.0801	1.65%	2.10%	-0.02%	1.65%	0.00%	-0.32%
12	1957	1,957.92	1/31/1958	28.470	69,898.84	1,929.39	2,496.27	69,898.84	35.25	13.5580	-3.99%	4.43%	0.06%	-3.99%	0.00%	-0.21%
1	1958	1,958.00	2/28/1958	28.640	73,145.30	1,953.99	2,502.59	73,145.30	35.25	13.9829	4.02%	0.67%	-0.34%	4.02%	0.00%	-0.59%
2	1958	1,958.08	3/31/1958	28.700	71,895.28	1,965.57	2,507.68	71,895.28	35.25	13.6446	-1.91%	0.38%	-0.01%	-1.91%	0.00%	-0.21%
3	1958	1,958.17	4/30/1958	28.870	74,372.80	1,982.12	2,510.88	74,372.80	35.25	13.9223	2.84%	0.25%	-0.46%	2.84%	0.00%	-0.59%
4	1958	1,958.25	5/31/1958	28.940	76,994.53	2,003.72	2,513.60	76,994.53	35.25	14.2750	3.27%	0.85%	-0.13%	3.27%	0.00%	-0.24%
5	1958	1,958.33	6/30/1958	28.940	78,401.89	2,001.82	2,515.97	78,401.89	35.25	14.5238	1.83%	-0.09%	0.09%	1.83%	0.00%	0.00%
6	1958	1,958.42	7/31/1958	28.910	80,702.93	1,998.33	2,517.87	80,702.93	35.25	14.7958	3.04%	-0.07%	0.18%	3.04%	0.00%	0.10%
7	1958	1,958.50	8/31/1958	28.890	84,438.96	1,965.21	2,519.61	84,438.96	35.25	15.3511	4.70%	-1.59%	0.14%	4.70%	0.00%	0.07%
8	1958	1,958.58	9/30/1958	28.940	85,698.74	1,915.56	2,521.53	85,698.74	35.25	15.6423	1.32%	-2.69%	-0.10%	1.32%	0.00%	-0.17%
9	1958	1,958.67	10/31/1958	28.910	90,103.64	1,886.55	2,525.08	90,103.64	35.25	16.2899	5.25%	-1.41%	0.24%	5.25%	0.00%	0.10%
10	1958	1,958.75	11/30/1958	28.910	92,652.07	1,886.22	2,530.21	92,652.07	35.25	16.6833	2.83%	-0.02%	0.20%	2.83%	0.00%	0.00%
11	1958	1,958.83	12/31/1958	28.950	94,990.72	1,901.60	2,535.76	94,990.72	35.25	17.0504	2.38%	0.68%	0.08%	2.38%	0.00%	-0.14%
12	1958	1,958.92	1/31/1959	28.970	100,196.11	1,888.71	2,541.40	100,196.11	35.25	17.9165	5.41%	-0.75%	0.15%	5.41%	0.00%	-0.07%
1	1959	1,959.00	2/28/1959	29.010	100,844.59	1,894.79	2,547.26	100,844.59	35.25	17.8478	0.51%	0.18%	0.09%	0.51%	0.00%	-0.14%
2	1959	1,959.08	3/31/1959	29.000	101,094.42	1,910.39	2,553.25	101,094.42	35.25	18.0704	0.28%	0.86%	0.27%	0.28%	0.00%	0.03%
3	1959	1,959.17	4/30/1959	28.970	101,418.04	1,912.04	2,559.00	101,418.04	35.25	17.9675	0.42%	0.19%	0.33%	0.42%	0.00%	0.10%
4	1959	1,959.25	5/31/1959	28.980	105,624.14	1,898.34	2,564.97	105,624.14	35.25	18.5889	4.11%	-0.75%	0.20%	4.11%	0.00%	-0.03%
5	1959	1,959.33	6/30/1959	29.040	107,896.82	1,875.89	2,571.27	107,896.82	35.25	18.9088	1.94%	-1.39%	0.04%	1.94%	0.00%	-0.21%
6	1959	1,959.42	7/31/1959	29.110	107,784.83	1,878.08	2,577.36	107,784.83	35.25	18.7729	-0.34%	-0.12%	0.00%	-0.34%	0.00%	-0.24%
7	1959	1,959.50	8/31/1959	29.150	111,823.35	1,875.79	2,584.25	111,823.35	35.25	19.3366	3.60%	-0.26%	0.13%	3.60%	0.00%	-0.14%
8	1959	1,959.58	9/30/1959	29.180	110,420.68	1,878.13	2,591.14	110,420.68	35.25	19.0226	-1.36%	0.02%	0.16%	-1.36%	0.00%	-0.10%
9	1959	1,959.67	10/31/1959	29.250	105,660.61	1,847.62	2,598.44	105,660.61	35.25	18.0693	-4.54%	-1.86%	0.04%	-4.54%	0.00%	-0.24%
10	1959	1,959.75	11/30/1959	29.350	107,132.63	1,877.28	2,607.19	107,132.63	35.25	18.1516	1.05%	1.26%	-0.01%	1.05%	0.00%	-0.34%
11	1959	1,959.83	12/31/1959	29.350	108,832.18	1,884.36	2,615.99	108,832.18	35.25	18.4034	1.59%	0.38%	0.34%	1.59%	0.00%	0.00%
12	1959	1,959.92	1/31/1960	29.410	112,123.89	1,867.36	2,625.04	112,123.89	35.25	18.8865	2.81%	-1.10%	0.14%	2.81%	0.00%	-0.20%
1	1960	1,960.00	2/29/1960	29.370	104,413.82	1,870.16	2,634.86	104,413.82	36.50	17.6841	-6.75%	0.29%	0.51%	-6.75%	0.00%	3.69%
2	1960	1,960.08	3/31/1960	29.410	105,675.22	1,912.47	2,644.41	105,675.22	36.50	17.6522	1.07%	2.12%	0.23%	1.07%	0.00%	-0.14%
3	1960	1,960.17	4/30/1960	29.410	104,511.26	1,957.06	2,653.14	104,511.26	36.50	17.3866	-1.10%	2.33%	0.33%	-1.10%	0.00%	0.00%
4	1960	1,960.25	5/31/1960	29.540	102,986.57	1,959.25	2,660.45	102,986.57	36.50	16.9294	-1.89%	-0.33%	-0.17%	-1.89%	0.00%	-0.44%
5	1960	1,960.33	6/30/1960	29.570	106,059.64	1,955.19	2,667.61	106,059.64	36.50	17.4468	2.88%	-0.31%	0.17%	2.88%	0.00%	-0.10%
6	1960	1,960.42	7/31/1960	29.610	108,439.37	1,994.17	2,674.93	108,439.37	36.50	17.7175	2.11%	1.86%	0.14%	2.11%	0.00%	-0.14%
7	1960	1,960.50	8/31/1960	29.550	106,062.48	2,041.95	2,680.41	106,062.48	36.50	17.2803	-1.99%	2.60%	0.41%	-1.99%	0.00%	0.20%
8	1960	1,960.58	9/30/1960	29.610	109,143.16	2,065.27	2,685.55	109,143.16	36.50	17.7221	2.70%	0.94%	-0.01%	2.70%	0.00%	-0.20%
9	1960	1,960.67	10/31/1960	29.610	102,862.72	2,071.81	2,690.70	102,862.72	36.50	16.6507	-5.75%	0.32%	0.19%	-5.75%	0.00%	0.00%
10	1960	1,960.75	11/30/1960	29.750	102,924.13	2,063.25	2,696.26	102,924.13	36.50	16.5000	-0.41%	-0.88%	-0.26%	-0.41%	0.00%	-0.47%
11	1960	1,960.83	12/31/1960	29.780	107,382.03	2,063.24	2,701.43	107,382.03	36.50	17.1677	4.23%	-0.10%	0.09%	4.23%	0.00%	-0.10%
12	1960	1,960.92	1/31/1961	29.810	112,665.49	2,085.16	2,706.76	112,665.49	36.50	17.8002	4.81%	0.96%	0.10%	4.81%	0.00%	-0.10%
1	1961	1,961.00	2/28/1961	29.840	120,094.43	2,091.83	2,711.84	120,094.43	35.50	19.1075	6.49%	0.22%	0.09%	6.49%	0.00%	-2.84%
2	1961	1,961.08	3/31/1961	29.840	123,635.78	2,108.77	2,716.90	123,635.78	35.50	19.6269	2.95%	0.81%	0.19%	2.95%	0.00%	0.00%
3	1961	1,961.17	4/30/1961	29.840	127,107.81	2,122.29	2,722.38	127,107.81	35.50	20.3023	2.81%	0.64%	0.20%	2.81%	0.00%	0.00%
4	1961	1,961.25	5/31/1961	29.810	127,912.03	2,122.00	2,727.80	127,912.03	35.50	20.1785	0.73%	0.09%	0.30%	0.73%	0.00%	0.10%
5	1961	1,961.33	6/30/1961	29.840	130,676.33	2,140.83	2,733.00	130,676.33	35.50	20.6172	2.06%	0.79%	0.09%	2.06%	0.00%	-0.10%
6	1961	1,961.42	7/31/1961	29.840	127,243.77	2,118.01	2,738.22	127,243.77	35.50	20.0319	-2.63%	-1.07%	0.19%	-2.63%	0.00%	0.00%
7	1961	1,961.50	8/31/1961	29.920	131,718.58	2,117.98	2,743.54	131,718.58	35.50	20.5530	3.24%	-0.27%	-0.07%	3.24%	0.00%	-0.27%
8	1961	1,961.58	9/30/1961	29.940	134,625.56	2,104.36	2,748.66	134,625.56	35.50	21.0282	2.14%	-0.71%	0.12%	2.14%	0.00%	-0.07%
9	1961	1,961.67	10/31/1961	29.980	132,298.71	2,121.72	2,754.13	132,298.71	35.50	20.5544	-1.86%	0.69%	0.07%	-1.86%	0.00%	-0.13%
10	1961	1,961.75	11/30/1961	29.980	136,379.13	2,139.13	2,759.37	136,379.13	35.50	21.1150	3.08%	0.82%	0.19%	3.08%	0.00%	0.00%
11	1961	1,961.83	12/31/1961	29.980	142,079.54	2,142.64	2,764.65	142,079.54	35.50	21.9318	4.18%	0.16%	0.19%	4.18%	0.00%	0.00%
12	1961	1,961.92	1/31/1962	30.010	142,872.70	2,128.90	2,770.37	142,872.70	35.50	21.8018	0.46%	-0.74%	0.11%	0.46%	0.00%	-0.10%
1	1962	1,962.00	2/28/1962	30.040	137,800.38	2,129.21	2,776.37	137,800.38	35.35	21.1273	-3.65%	-0.09%	0.12%	-3.65%	0.00%	-0.52%
2	1962	1,962.08	3/31/1962	30.110	140,383.11	2,153.83	2,782.66	140,383.11	35.35	21.3723	1.64%	0.92%	-0.01%	1.64%	0.00%	-0.23%
3	1962	1,962.17	4/30/1962	30.170	139,901.15	2,185.66	2,788.99	139,901.15	35.35	21.1625	-0.54%	1.28%	0.03%	-0.54%	0.00%	-0.20%
4	1962	1,962.25	5/31/1962	30.210	131,577.08	2,192.69	2,795.32	131,577.08	35.35	19.8053	-6.07%	0.19%	0.09%	-6.07%	0.00%	-0.13%
5	1962	1,962.33	6/30/1962	30.240	120,608.50	2,192.62	2,801.68	120,608.50	35.35	18.0711	-8.43%	-0.10%	0.13%	-8.43%	0.00%	-0.10%
6	1962	1,962.42	7/31/1962	30.210	111,085.12	2,182.00	2,807.96	111,085.12	35.35	16.8971	-7.80%	-0.39%	0.32%	-7.80%	0.00%	0.10%
7	1962	1,962.50	8/31/1962	30.220	118,497.36	2,182.20	2,814.34	118,497.36	35.35	17.5204	6.64%	-0.02%	0.19%	6.64%	0.00%	-0.03%
8	1962	1,962.58	9/30/1962	30.280	120,661.40	2,203.77	2,821.19	120,661.40	35.35	17.7514	1.62%	0.79%	0.04%	1.62%	0.00%	-0.20%
9	1962	1,962.67	10/31/1962	30.420	115,198.78	2,214.63	2,827.82	115,198.78	35.35	16.5719	-4.97%	0.03%	-0.23%	-4.97%	0.00%	-0.46%
10	1962	1,962.75	11/30/1962	30.380	116,074.11	2,225.50	2,834.37	116,074.11	35.35	16.8441	0.89%	0.62%	0.36%	0.89%	0.00%	0.13%
11	1962	1,962.83	12/31/1962	30.380	128,226.66	2,232.77	2,840.84	128,226.66	35.35	18.5146	10.47%	0.33%	0.23%	10.47%	0.00%	0.00%
12	1962	1,962.92	1/31/1963	30.380	130,322.71	2,252.81	2,847.54	130,322.71	35.35	18.7223	1.63%	0.90%	0.24%	1.63%	0.00%	0.00%
1	1963	1,963.00	2/28/1963	30.440	137,095.55	2,256.38	2,854.35	137,095.55	35.25	19.5967	4.99%	-0.04%	0.04%	4.99%	0.00%	-0.48%
2	1963	1,963.08	3/31/1963	30.480	133,510.65	2,250.85	2,861.28	133,510.65	35.25	18.9878	-2.74%	-0.38%	0.11%	-2.74%	0.00%	-0.13%
3	1963	1,963.17	4/30/1963	30.510	138,617.62	2,256.41	2,868.24	138,617.62	35.25	19.6346	3.72%	0.15%	0.14%	3.72%	0.00%	-0.10%
4	1963	1,963.25	5/31/1963	30.480	145,724.92	2,263.84	2,875.15	145,724.92	35.25	20.4548	5.23%	0.43%	0.34%	5.23%	0.00%	0.10%
5	1963	1,963.33	6/30/1963	30.510	148,195.75	2,269.45	2,882.10	148,195.75	35.25	20.7006	1.60%	0.15%	0.14%	1.60%	0.00%	-0.10%
6	1963	1,963.42	7/31/1963	30.610	145,586.11	2,269.58	2,889.13	145,586.11	35.25	20.0207	-2.08%	-0.32%	-0.08%	-2.08%	0.00%	-0.33%
7	1963	1,963.50	8/31/1963	30.690	145,469.31	2,277.15	2,896.33	145,469.31	35.25	19.9866	-0.34%	0.07%	-0.01%	-0.34%	0.00%	-0.26%
8	1963	1,963.58	9/30/1963	30.750	152,948.52	2,281.04	2,904.01	152,948.52	35.25	20.9572	4.94%	-0.02%	0.07%	4.94%	0.00%	-0.20%
9	1963	1,963.67	10/31/1963	30.720	151,649.04	2,279.45	2,912.04	151,649.04	35.25	20.6295	-0.75%	0.03%	0.37%	-0.75%	0.00%	0.10%
10	1963	1,963.75	11/30/1963	30.750	156,936.58	2,272.45	2,920.24	156,936.58	35.25	21.1717	3.39%	-0.40%	0.18%	3.39%	0.00%	-0.10%
11	1963	1,963.83	12/31/1963	30.780	155,685.05	2,293.24	2,928.64	155,685.05	35.25	21.0171	-0.89%	0.82%	0.19%	-0.89%	0.00%	-0.10%
12	1963	1,963.92	1/31/1964	30.880	159,894.58	2,289.91	2,937.23	159,894.58	35.25	21.2797	2.37%	-0.47%	-0.03%	2.37%	0.00%	-0.32%
1	1964	1,964.00	2/29/1964	30.940	164,613.17	2,295.95	2,945.85	164,613.17	35.35	21.7941	2.75%	0.07%	0.10%	2.75%	0.00%	0.09%
2	1964	1,964.08	3/31/1964	30.910	166,651.28	2,298.32	2,954.49	166,651.28	35.35	21.9963	1.34%	0.20%	0.39%	1.34%	0.00%	0.10%
3	1964	1,964.17	4/30/1964	30.940	169,594.80	2,297.04	2,963.18	169,594.80	35.35	22.2179	1.67%	-0.15%	0.20%	1.67%	0.00%	-0.10%
4	1964	1,964.25	5/31/1964	30.950	171,052.07	2,307.00	2,971.92	171,052.07	35.35	22.2876	0.83%	0.40%	0.26%	0.83%	0.00%	-0.03%
5	1964	1,964.33	6/30/1964	30.980	173,437.77	2,320.72	2,980.51	173,437.77	35.35	22.4037	1.30%	0.50%	0.19%	1.30%	0.00%	-0.10%
6	1964	1,964.42	7/31/1964	31.010	176,713.82	2,336.35	2,989.16	176,713.82	35.35	22.7033	1.79%	0.58%	0.19%	1.79%	0.00%	-0.10%
7	1964	1,964.50	8/31/1964	31.020	180,376.37	2,336.88	2,997.82	180,376.37	35.35	22.9733	2.04%	-0.01%	0.26%	2.04%	0.00%	-0.03%
8	1964	1,964.58	9/30/1964	31.050	177,889.55	2,341.25	3,006.47	177,889.55	35.35	22.6034	-1.47%	0.09%	0.19%	-1.47%	0.00%	-0.10%
9	1964	1,964.67	10/31/1964	31.080	183,440.44	2,355.16	3,015.24	183,440.44	35.35	23.1036	3.02%	0.50%	0.19%	3.02%	0.00%	-0.10%
10	1964	1,964.75	11/30/1964	31.120	185,376.86	2,367.19	3,024.11	185,376.86	35.35	23.3024	0.93%	0.38%	0.17%	0.93%	0.00%	-0.13%
11	1964	1,964.83	12/31/1964	31.210	184,870.57	2,367.74	3,033.10	184,870.57	35.35	22.9478	-0.56%	-0.27%	0.01%	-0.56%	0.00%	-0.29%
12	1964	1,964.92	1/31/1965	31.250	186,049.48	2,374.11	3,042.30	186,049.48	35.35	22.9671	0.51%	0.14%	0.17%	0.51%	0.00%	-0.13%
1	1965	1,965.00	2/28/1965	31.280	192,684.33	2,386.28	3,052.04	192,684.33	35.50	23.6638	3.47%	0.42%	0.22%	3.47%	0.00%	0.33%
2	1965	1,965.08	3/31/1965	31.280	192,866.42	2,388.83	3,061.73	192,866.42	35.50	23.5068	0.09%	0.11%	0.32%	0.09%	0.00%	0.00%
